GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Coverage with JaCoCo and Maven,pieces,Knight,0,179,6,28,0,52,6,13,0,2
Coverage with JaCoCo and Maven,pieces,Piece,13,27,0,2,3,9,3,8,3,7
Coverage with JaCoCo and Maven,pieces,Pawn,7,101,1,15,3,25,3,9,2,2
Coverage with JaCoCo and Maven,pieces,Position,7,297,0,40,3,63,1,35,1,15
Coverage with JaCoCo and Maven,pieces,PieceColor,0,24,0,0,0,3,0,1,0,1
Coverage with JaCoCo and Maven,pieces,Direction,0,24,0,0,0,3,0,1,0,1
Coverage with JaCoCo and Maven,pieces,King,0,193,7,21,0,43,7,9,0,2
Coverage with JaCoCo and Maven,pieces,Rook,0,103,0,10,0,28,0,7,0,2
Coverage with JaCoCo and Maven,pieces,Queen,0,183,0,18,0,44,0,11,0,2
Coverage with JaCoCo and Maven,pieces,PieceType,0,64,0,0,0,7,0,1,0,1
Coverage with JaCoCo and Maven,pieces,Bishop,0,111,0,10,0,28,0,7,0,2
Coverage with JaCoCo and Maven,chess,Rules,137,1239,61,273,31,216,47,141,0,21
Coverage with JaCoCo and Maven,chess,Board.CellRenderer,182,0,24,0,39,0,17,0,5,0
Coverage with JaCoCo and Maven,chess,PGN_Formatter.new HashMap() {...},0,28,0,0,0,6,0,1,0,1
Coverage with JaCoCo and Maven,chess,PGN_Formatter.new HashMap() {...},0,28,0,0,0,6,0,1,0,1
Coverage with JaCoCo and Maven,chess,Main,5,0,0,0,3,0,2,0,2,0
Coverage with JaCoCo and Maven,chess,Board.new JTable() {...},9,0,0,0,2,0,2,0,2,0
Coverage with JaCoCo and Maven,chess,Board,639,286,42,4,158,24,35,4,14,2
Coverage with JaCoCo and Maven,chess,Board.ClickedOnTable,444,0,78,0,100,0,46,0,7,0
Coverage with JaCoCo and Maven,chess,PGN_Formatter,500,1056,64,117,85,229,45,68,2,19
Coverage with JaCoCo and Maven,chess,Program,704,0,4,0,175,0,16,0,14,0
